Watching for file changes with StatReloader
"GET / HTTP/1.1" 200 10629
Not Found: /favicon.ico
"GET /favicon.ico HTTP/1.1" 404 2121
Not Found: /gg
"GET /gg HTTP/1.1" 404 2094
D:\growbinar code\Growbinar-Alpha-Backend\Growbinar_Backend\Growbinar_Backend\settings.py changed, reloading.
DEBUG 2024-04-25 23:22:25,857 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1713712047.4034414
DEBUG 2024-04-25 23:22:25,857 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1713712045.0749843
DEBUG 2024-04-25 23:22:25,857 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1713712047.4010773
DEBUG 2024-04-25 23:22:25,857 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\email\policy.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,858 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\DLLs\_queue.pyd first seen with mtime 1675769102.0
DEBUG 2024-04-25 23:22:25,858 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1713712047.3725405
DEBUG 2024-04-25 23:22:25,858 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\views\defaults.py first seen with mtime 1713712047.7916346
DEBUG 2024-04-25 23:22:25,858 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\apps\registry.py first seen with mtime 1713712044.8449352
DEBUG 2024-04-25 23:22:25,859 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1713712047.4332821
DEBUG 2024-04-25 23:22:25,859 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1713712047.8116465
DEBUG 2024-04-25 23:22:25,859 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1713712047.3715315
DEBUG 2024-04-25 23:22:25,859 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\wsgiref\__init__.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,859 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\json\decoder.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,859 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\xml\__init__.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,860 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1713712047.4564207
DEBUG 2024-04-25 23:22:25,860 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\sqlite3\dbapi2.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,860 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\zoneinfo\__init__.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,860 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\Growbinar_Backend\Growbinar_Backend\urls.py first seen with mtime 1713711768.6730149
DEBUG 2024-04-25 23:22:25,860 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\unittest\__init__.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,861 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1713712047.4452493
DEBUG 2024-04-25 23:22:25,861 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\importlib\metadata\_text.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,861 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\importlib\abc.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,861 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1713712047.3725405
DEBUG 2024-04-25 23:22:25,861 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1713712045.4396994
DEBUG 2024-04-25 23:22:25,862 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\apps\config.py first seen with mtime 1713712044.843938
